cluster_label_final,early_period,late_period,delta_share,signal
Software Engineer | Senior Software Engineer,0.032,0.052,0.02,Rising
Electrical Engineer | Mechanical Engineer,0.037,0.047,0.01,Rising
Project Manager | Senior Project Manager,0.024,0.033,0.009,Rising
Network Engineer | Technical Support Specialist,0.022,0.031,0.008,Rising
Sales Specialist | Outside Sales Representative,0.04,0.047,0.008,Rising
Sales Associate | Junior Groomer,0.042,0.035,-0.007,Declining
ASSISTANT STORE MANAGER | Customer Service Representative,0.046,0.035,-0.011,Declining
Sales Manager | Business Development Manager,0.015,0.004,-0.012,Declining
Registered Nurse - RN - LTAC | Nurse Practitioner,0.058,0.028,-0.03,Declining
Registered Nurse | Certified Nursing Assistant (CNA),0.081,0.038,-0.043,Declining
